time,x,y,theta,front,left,right,danger,worker_hazard,closest_worker_dist,state
83.168,35.07540524039751,31.089709038512957,-1.9225654379350399,9.146237950218085,1.328745027697149,10.115877087556974,0,0,-1.0,FORWARD
83.184,35.04784051041936,31.01460786900654,-1.9225654379350399,9.358453942620514,1.37093121291081,10.117462229989304,0,0,-1.0,FORWARD
83.2,35.02027578044122,30.93950669950012,-1.9225654379350399,9.552207049395264,1.3947669797633606,10.124685404537358,0,0,-1.0,FORWARD
83.21600000000001,34.99271105046307,30.864405529993704,-1.9225654379350399,9.748460926083025,1.4041344157527882,10.21731858057325,0,0,-1.0,FORWARD
83.232,34.965146320484926,30.789304360487286,-1.9225654379350399,9.97876136465189,1.4568040979821997,10.284009660759821,0,0,-1.0,FORWARD
83.248,34.93758159050678,30.714203190980868,-1.9225654379350399,10.151643375689856,1.4721268641480392,10.325229764680975,0,0,-1.0,FORWARD
83.264,34.910016860528636,30.63910202147445,-1.9225654379350399,10.340757395410478,1.5080536003591825,10.42781367332367,0,0,-1.0,FORWARD
83.28,34.88245213055049,30.564000851968032,-1.9225654379350399,10.569568915046737,1.5387233567639744,10.456865730729968,0,0,-1.0,FORWARD
83.296,34.854887400572345,30.488899682461614,-1.9225654379350399,10.74128738334507,1.5559447335410264,17.388127944031957,0,0,-1.0,FORWARD
83.312,34.8273226705942,30.413798512955196,-1.9225654379350399,10.956218555403515,1.590935361627616,17.261529747714402,0,0,-1.0,FORWARD
83.328,34.799757940616054,30.33869734344878,-1.9225654379350399,11.174969606300404,1.621695229601804,17.098854304743785,0,0,-1.0,FORWARD
83.34400000000001,34.77219321063791,30.26359617394236,-1.9225654379350399,11.376036643166621,1.659444402793597,17.042299802557366,0,0,-1.0,FORWARD
83.36,34.74462848065976,30.188495004435943,-1.9225654379350399,11.543100877804523,1.6856478061796978,17.02213095905761,0,0,-1.0,FORWARD
83.376,34.71706375068162,30.113393834929525,-1.9225654379350399,11.778418002805704,1.720704613641522,16.96502705364146,0,0,-1.0,FORWARD
83.392,34.68949902070347,30.038292665423107,-1.9225654379350399,11.963976707759407,1.7480163180715902,16.89814168815423,0,0,-1.0,FORWARD
83.408,34.66193429072533,29.96319149591669,-1.9225654379350399,12.195405066958854,1.76384984672433,16.913021273714037,0,0,-1.0,FORWARD
83.424,34.63436956074718,29.88809032641027,-1.9225654379350399,12.375708551504143,1.7889171724287047,16.766828463060527,0,0,-1.0,FORWARD
83.44,34.606804830769036,29.812989156903853,-1.9225654379350399,12.569143353850377,1.8286160365035853,16.636938450821187,0,0,-1.0,FORWARD
83.456,34.57924010079089,29.737887987397436,-1.9225654379350399,12.788441814132623,1.8612618110697339,16.60630610245361,0,0,-1.0,FORWARD
83.47200000000001,34.551675370812745,29.662786817891018,-1.9225654379350399,12.980358921505415,1.8953120039799332,16.58195703201449,0,0,-1.0,FORWARD
83.488,34.5241106408346,29.5876856483846,-1.9225654379350399,13.175871003175104,1.9232917636346167,16.4791543720022,0,0,-1.0,FORWARD
83.504,34.496545910856454,29.512584478878182,-1.9225654379350399,12.800268576416885,1.9630561890597968,16.442588951153088,0,0,-1.0,FORWARD
83.52,34.46898118087831,29.437483309371764,-1.9225654379350399,13.569554474254929,1.9881833958306028,16.39877310268218,0,0,-1.0,FORWARD
83.536,34.441416450900164,29.362382139865346,-1.9225654379350399,13.78550905787162,2.010271432075021,16.266030893467754,0,0,-1.0,FORWARD
83.552,34.41385172092202,29.28728097035893,-1.9225654379350399,13.971907672239993,2.041715042233257,16.204068789994572,0,0,-1.0,FORWARD
83.568,34.38628699094387,29.21217980085251,-1.9225654379350399,14.182856227217268,2.069131923079521,16.16234221057032,0,0,-1.0,FORWARD
83.584,34.35872226096573,29.137078631346093,-1.9225654379350399,14.4172745365447,2.105268027185667,16.098205519998686,0,0,-1.0,FORWARD
83.60000000000001,34.33115753098758,29.061977461839675,-1.9225654379350399,13.87059233701211,2.126985420328165,16.044265499728045,0,0,-1.0,FORWARD
83.616,34.30359280100944,28.986876292333257,-1.9225654379350399,13.730138720250556,2.1585706558916153,15.983158397626742,0,0,-1.0,FORWARD
83.632,34.27602807103129,28.91177512282684,-1.9225654379350399,15.004534684020133,2.180337216040105,15.904724297074905,0,0,-1.0,FORWARD
83.648,34.248463341053146,28.83667395332042,-1.9225654379350399,15.03663178833794,2.21536982206682,15.807619305597234,0,0,-1.0,FORWARD
83.664,34.220898611075,28.761572783814003,-1.9225654379350399,14.969923441849446,2.241426608016071,15.812285528380608,0,0,-1.0,FORWARD
83.68,34.193333881096855,28.686471614307585,-1.9225654379350399,14.916204992509046,2.263056137867568,15.734200041012244,0,0,-1.0,FORWARD
83.696,34.16576915111871,28.611370444801167,-1.9225654379350399,14.810454702622073,2.306078465002153,15.641772011936219,0,0,-1.0,FORWARD
83.712,34.138204421140564,28.53626927529475,-1.9225654379350399,14.753187855216467,2.335132610114428,15.62312987614826,0,0,-1.0,FORWARD
83.72800000000001,34.11063969116242,28.46116810578833,-1.9225654379350399,14.71580614348008,2.367391724490797,15.495283584554757,0,0,-1.0,FORWARD
83.744,34.08307496118427,28.386066936281914,-1.9225654379350399,14.694416143225634,2.3972567545021306,15.46713068640758,0,0,-1.0,FORWARD
83.76,34.05551023120613,28.310965766775496,-1.9225654379350399,11.72019065284814,2.4197556189514917,15.429578364326305,0,0,-1.0,FORWARD
83.776,34.02794550122798,28.235864597269078,-1.9225654379350399,15.842712338984013,2.457741782465605,15.283786703583429,0,0,-1.0,FORWARD
83.792,34.00038077124984,28.16076342776266,-1.9225654379350399,15.778736675970615,2.4718040178423664,15.216777644265228,0,0,-1.0,FORWARD
83.808,33.97281604127169,28.085662258256242,-1.9225654379350399,15.738870676262964,2.5215745628204824,15.157677194972205,0,0,-1.0,FORWARD
83.824,33.945251311293546,28.010561088749824,-1.9225654379350399,14.834629189404506,2.5482379924258187,15.133273870567006,0,0,-1.0,FORWARD
83.84,33.9176865813154,27.935459919243407,-1.9225654379350399,14.685311917822755,2.582569646203835,15.128706542555763,0,0,-1.0,FORWARD
83.85600000000001,33.890121851337256,27.86035874973699,-1.9225654379350399,13.668238863789936,2.5902761182849927,14.956905916212474,0,0,-1.0,FORWARD
83.872,33.86255712135911,27.78525758023057,-1.9225654379350399,15.351471819064237,2.6198382985127386,14.928278185125086,0,0,-1.0,FORWARD
83.888,33.834992391380965,27.710156410724153,-1.9225654379350399,15.251791882028101,2.6636429633152536,14.890333569129938,0,0,-1.0,FORWARD
83.904,33.80742766140282,27.635055241217735,-1.9225654379350399,15.511737696232576,2.6782751082623246,14.8511265454524,0,0,-1.0,FORWARD
83.92,33.779862931424674,27.559954071711317,-1.9225654379350399,15.203640915763772,2.7133520129905437,14.823248490690396,0,0,-1.0,FORWARD
83.936,33.75229820144653,27.4848529022049,-1.9225654379350399,15.126983906329775,2.7519497735663867,14.691010143231555,0,0,-1.0,FORWARD
83.952,33.72473347146838,27.40975173269848,-1.9225654379350399,15.011528657672747,2.765812515470673,14.648343780978045,0,0,-1.0,FORWARD
83.968,33.69716874149024,27.334650563192064,-1.9225654379350399,15.118816874564464,2.8045578109727876,14.589934717004336,0,0,-1.0,FORWARD
83.984,33.66960401151209,27.259549393685646,-1.9225654379350399,14.99597154936612,2.8159948591565027,14.491334839668133,0,0,-1.0,FORWARD
84.0,33.64203928153395,27.184448224179228,-1.9225654379350399,15.069224945475607,2.8599128429528675,14.4488309601842,0,0,-1.0,FORWARD
84.016,33.6144745515558,27.10934705467281,-1.9225654379350399,15.033354497761058,2.892056702904685,14.372722724927568,0,0,-1.0,FORWARD
84.032,33.586909821577656,27.034245885166392,-1.9225654379350399,13.921418340663584,2.921110797217516,14.290822293749695,0,0,-1.0,FORWARD
84.048,33.55934509159951,26.959144715659974,-1.9225654379350399,13.808683566247055,2.959080509693371,14.225904883895227,0,0,-1.0,FORWARD
84.06400000000001,33.531780361621365,26.884043546153556,-1.9225654379350399,17.156368500432535,2.9884906752316427,14.194421936926831,0,0,-1.0,FORWARD
84.08,33.50421563164322,26.80894237664714,-1.9225654379350399,16.212335187100734,3.012148521335313,14.19999268736956,0,0,-1.0,FORWARD
84.096,33.476650901665074,26.73384120714072,-1.9225654379350399,14.282350539616576,3.012886850296978,14.10770583819295,0,0,-1.0,FORWARD
84.112,33.44908617168693,26.658740037634303,-1.9225654379350399,14.151829238933637,3.071847134417032,14.035259244026426,0,0,-1.0,FORWARD
84.128,33.421521441708784,26.583638868127885,-1.9225654379350399,14.068459784358629,3.0934530702716216,13.946129838908934,0,0,-1.0,FORWARD
84.144,33.39395671173064,26.508537698621467,-1.9225654379350399,14.045980921954383,3.1224560129997774,13.9244366370964,0,0,-1.0,FORWARD
84.16,33.36639198175249,26.43343652911505,-1.9225654379350399,12.171711699542675,3.1584644743609767,13.84191423397977,0,0,-1.0,FORWARD
84.176,33.33882725177435,26.35833535960863,-1.9225654379350399,13.986509113636897,3.182780541221858,13.749507644329055,0,0,-1.0,FORWARD
84.19200000000001,33.3112625217962,26.283234190102213,-1.9225654379350399,16.62302730333699,3.1936801888035,13.749260004665254,0,0,-1.0,FORWARD
84.208,33.28369779181806,26.208133020595795,-1.9225654379350399,18.161794290785426,3.2477316260424347,13.639733195394129,0,0,-1.0,FORWARD
84.224,33.25613306183991,26.133031851089378,-1.9225654379350399,18.112871517035458,3.2624917840234278,13.593271768405213,0,0,-1.0,FORWARD
84.24,33.228568331861766,26.05793068158296,-1.9225654379350399,18.051914212819483,3.3010747149303814,13.511476743484987,0,0,-1.0,FORWARD
84.256,33.20100360188362,25.982829512076542,-1.9225654379350399,17.997495390132066,3.335943452403883,13.491586781533599,0,0,-1.0,FORWARD
84.272,33.173438871905475,25.907728342570124,-1.9225654379350399,17.97714612507767,3.3463594175129487,13.410509331556623,0,0,-1.0,FORWARD
84.288,33.14587414192733,25.832627173063706,-1.9225654379350399,17.924466867561733,3.378720279490078,13.403664861415146,0,0,-1.0,FORWARD
84.304,33.118309411949184,25.757526003557288,-1.9225654379350399,17.900998567681462,3.420882384199316,13.276639955692904,0,0,-1.0,FORWARD
84.32000000000001,33.09074468197104,25.68242483405087,-1.9225654379350399,17.963760738003742,3.4522409249242303,13.18517772871666,0,0,-1.0,FORWARD
84.336,33.06317995199289,25.607323664544452,-1.9225654379350399,17.922265606740606,3.4723978064427854,13.201175474493192,0,0,-1.0,FORWARD
84.352,33.03561522201475,25.532222495038035,-1.9225654379350399,17.886521722169057,3.5125363910629224,13.129259073532284,0,0,-1.0,FORWARD
84.368,33.0080504920366,25.457121325531617,-1.9225654379350399,17.86467782059502,3.539487697112509,13.079520860748778,0,0,-1.0,FORWARD
84.384,32.98048576205846,25.3820201560252,-1.9225654379350399,17.708770842031424,3.5813408289017152,13.020766226005854,0,0,-1.0,FORWARD
84.4,32.95292103208031,25.30691898651878,-1.9225654379350399,17.768980182249813,3.5869858988690306,12.93948235647751,0,0,-1.0,FORWARD
84.416,32.925356302102166,25.231817817012363,-1.9225654379350399,17.625184984355478,3.63468774258079,12.930916896573532,0,0,-1.0,FORWARD
84.432,32.89779157212402,25.156716647505945,-1.9225654379350399,17.703591806046965,3.664235684816841,12.859561735754095,0,0,-1.0,FORWARD
84.44800000000001,32.870226842145875,25.081615477999527,-1.9225654379350399,17.677621896170628,3.6972748541169826,12.799024102674103,0,0,-1.0,FORWARD
84.464,32.84266211216773,25.00651430849311,-1.9225654379350399,17.52598942033068,3.7237694870030276,12.760245589206086,0,0,-1.0,FORWARD
84.48,32.815097382189585,24.93141313898669,-1.9225654379350399,17.47863556166197,3.7569404524910706,12.746914213288859,0,0,-1.0,FORWARD
84.496,32.78753265221144,24.856311969480274,-1.9225654379350399,17.435133329514183,3.764121498376054,12.657289813025086,0,0,-1.0,FORWARD
84.512,32.759967922233294,24.781210799973856,-1.9225654379350399,19.650688874439464,3.808128517511783,12.611690389923197,0,0,-1.0,FORWARD
84.528,32.73240319225515,24.706109630467438,-1.9225654379350399,19.56220795721345,3.8112986719756754,12.578903634204652,0,0,-1.0,FORWARD
84.544,32.704838462277,24.63100846096102,-1.9225654379350399,19.49576762018185,3.868087180576483,12.513915241082417,0,0,-1.0,FORWARD
84.56,32.67727373229886,24.555907291454602,-1.9225654379350399,19.429587444428343,3.8930426909547955,12.005476203505788,0,0,-1.0,FORWARD
84.57600000000001,32.64970900232071,24.480806121948184,-1.9225654379350399,19.338850619700075,3.9102824257744815,12.34899622812028,0,0,-1.0,FORWARD
84.592,32.62214427234257,24.405704952441766,-1.9225654379350399,19.258799253638117,3.9515521212470412,12.371231255612285,0,0,-1.0,FORWARD
84.608,32.59457954236442,24.33060378293535,-1.9225654379350399,19.19167294204152,3.978804353681355,12.256402937205547,0,0,-1.0,FORWARD
84.624,32.567014812386276,24.25550261342893,-1.9225654379350399,19.12319196142285,4.0103841349421865,12.259646582813229,0,0,-1.0,FORWARD
